pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",-0.014984040128377448,0.8011476282695258,-0.08369010316756756,0.1602835384161003,285,49.9 (7.9),0.61
"('slowdelta_bandpower_total', 'vol-thalamus')",0.14450333222265538,0.014622175733665383,-0.030427105383176067,0.6102506581111181,285,49.9 (7.9),0.61
"('so_rate_f', 'vol-ctx--anterior')",-0.011324921443491225,0.8490328790775009,-0.05890096444490277,0.32347622528995545,285,49.9 (7.9),0.61
"('so_rate_f', 'vol-thalamus')",0.10560408058186693,0.0750845973954863,-0.016550425187095406,0.781620433378194,285,49.9 (7.9),0.61
"('ss_dens_f', 'vol-thalamus')",-0.1009300631067466,0.08898942026347134,-0.10535381586166716,0.07682571839523034,285,49.9 (7.9),0.61
"('ss_dens_f', 'vol-hippocampus')",-0.0525648310165433,0.3766379715622618,-0.061502621530687196,0.3025261260390289,285,49.9 (7.9),0.61
"('fs_dens_c', 'vol-thalamus')",0.05030599260473732,0.39751572688682024,-0.014735120662405303,0.8050634934099609,285,49.9 (7.9),0.61
"('fs_dens_c', 'vol-hippocampus')",0.07542508260451798,0.2042503123257688,0.044680936993036734,0.45403989724316896,285,49.9 (7.9),0.61
"('perc_r', 'vol-ctx--isthmuscingulate')",-0.023908332506360278,0.6877556190791198,-0.0233574192732186,0.6956147508747067,285,49.9 (7.9),0.61
"('perc_r', 'vol-amygdala')",-0.05274312868874413,0.3750191818216443,-0.05390161968060316,0.36630874936188984,285,49.9 (7.9),0.61
"('perc_r', 'vol-brain-stem')",-0.1276233527607376,0.031249865824603214,-0.12282043601018822,0.038938274784101695,285,49.9 (7.9),0.61
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.1346952052665838,0.022948137010980075,0.08147009061329902,0.17170490907115013,285,49.9 (7.9),0.61
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.044135196396138096,0.4579812771650032,-0.005391153418219443,0.9280547886233119,285,49.9 (7.9),0.61
"('slowdelta_bandpower_total', 'mmse')",0.007819171580748241,0.9579346096747507,0.00448770423298629,0.9763864091453032,48,51.4 (6.0),0.58
"('so_rate_f', 'mmse')",-0.04698161856358954,0.7511727942195575,-0.06853796143273062,0.6508461049718792,48,51.4 (6.0),0.58
"('vol-ctx--anterior', 'mmse')",-0.2034267569952859,0.16550865529410597,-0.19158871979177844,0.20212829778245842,48,51.4 (6.0),0.58
"('vol-thalamus', 'mmse')",-0.028473420415129944,0.8476571889478426,0.10093353108206367,0.5044958726028741,48,51.4 (6.0),0.58
"('ss_dens_f', 'mmse')",-0.04712053848583636,0.7504606823999094,-0.04712954748756064,0.755782275930627,48,51.4 (6.0),0.58
"('fs_dens_c', 'mmse')",0.11915314995749252,0.41987596563159374,0.15233114162776865,0.3121885470178949,48,51.4 (6.0),0.58
"('vol-hippocampus', 'mmse')",-0.005060412490343433,0.9727690222550577,-0.0061148417201507205,0.9678285534725617,48,51.4 (6.0),0.58
"('perc_r', 'mmse')",0.12475419505627863,0.39819640512219445,0.14954765971732584,0.3212167452212596,48,51.4 (6.0),0.58
"('vol-ctx--isthmuscingulate', 'mmse')",0.04765065463062664,0.7477451687089898,0.002166575175327414,0.9885985910760193,48,51.4 (6.0),0.58
"('vol-amygdala', 'mmse')",0.1123350275614895,0.44714966189289806,0.12539522707801773,0.4063403002970417,48,51.4 (6.0),0.58
"('vol-brain-stem', 'mmse')",-0.16816578139539115,0.2532318556216605,-0.17078969923834234,0.2564441833334589,48,51.4 (6.0),0.58
"('alpha_bandpower_mean_o_w', 'mmse')",-0.023760922816798327,0.8726418478864973,0.05348800847741612,0.7240565797320351,48,51.4 (6.0),0.58
"('vol-total_ventricle', 'mmse')",-0.07993921753657751,0.5891268135912479,-0.14027461959426882,0.35246712557460635,48,51.4 (6.0),0.58
