pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.12452033112536352,0.12265342356465503,-0.011930787266488262,0.8836287921606872,155,62.1 (11.6),0.47
"('slowdelta_bandpower_total', 'vol-thalamus')",0.23656340716344082,0.0030412973777886724,-0.06384359943363674,0.4330249678050707,155,62.1 (11.6),0.47
"('so_rate_f', 'vol-ctx--anterior')",0.10940032085273746,0.17539560224661985,0.020853062298431264,0.7980661564981985,155,62.1 (11.6),0.47
"('so_rate_f', 'vol-thalamus')",0.14314276295692552,0.07559303499318609,-0.03711343400384448,0.64877828877667,155,62.1 (11.6),0.47
"('ss_dens_f', 'vol-thalamus')",0.22810798625566509,0.004308181003056558,0.013172861983302094,0.8716129199714413,155,62.1 (11.6),0.47
"('ss_dens_f', 'vol-hippocampus')",0.014737322729394653,0.8555804595563641,-0.08272434100932684,0.30934575614953913,155,62.1 (11.6),0.47
"('fs_dens_c', 'vol-thalamus')",0.3185712483557049,5.348719313985626e-05,0.15538700037196382,0.05511925272416861,155,62.1 (11.6),0.47
"('fs_dens_c', 'vol-hippocampus')",0.051477032890878974,0.5246994246830109,-0.0312232219863381,0.7016188281327724,155,62.1 (11.6),0.47
"('perc_r', 'vol-ctx--isthmuscingulate')",0.02380904764105738,0.7687101125698682,0.028211693471039665,0.7292175545409303,155,62.1 (11.6),0.47
"('perc_r', 'vol-amygdala')",-0.03835384366582882,0.6356348900490788,-0.07209342502835235,0.3758404264728339,155,62.1 (11.6),0.47
"('perc_r', 'vol-brain-stem')",0.010065506743690281,0.9010751161401565,0.016942057728481327,0.8353398266226323,155,62.1 (11.6),0.47
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.11223030656310057,0.1644249193581001,0.05608226171790647,0.4911048871737791,155,62.1 (11.6),0.47
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.0713678457842777,0.37753015146037133,-0.02856839611672055,0.7259295900754551,155,62.1 (11.6),0.47
"('slowdelta_bandpower_total', 'mmse')",0.0757125566867563,0.6252209925583453,0.05463184742889078,0.7311270041756581,44,64.6 (10.8),0.41
"('so_rate_f', 'mmse')",0.11549745524681479,0.4553220608770048,0.09762514036963033,0.538513946721755,44,64.6 (10.8),0.41
"('vol-ctx--anterior', 'mmse')",0.1198453942832651,0.438411941187058,0.02349867844052691,0.8825690701472115,44,64.6 (10.8),0.41
"('vol-thalamus', 'mmse')",0.32409688386581154,0.031854590916859604,0.22747203087339607,0.14740213349840547,44,64.6 (10.8),0.41
"('ss_dens_f', 'mmse')",0.2612112251953961,0.08677244422258149,0.17964937146870877,0.2549464785390247,44,64.6 (10.8),0.41
"('fs_dens_c', 'mmse')",0.30142529305126914,0.04676929818641713,0.19276533888145694,0.2213026588911165,44,64.6 (10.8),0.41
"('vol-hippocampus', 'mmse')",0.19417966455000268,0.20658057216334577,0.1438429261370401,0.3634479725160542,44,64.6 (10.8),0.41
"('perc_r', 'mmse')",0.036439566283704206,0.8143390191665901,0.07598262521985001,0.6324684178568081,44,64.6 (10.8),0.41
"('vol-ctx--isthmuscingulate', 'mmse')",0.024483128496207554,0.8746530621917279,0.06329660388141167,0.690461319114706,44,64.6 (10.8),0.41
"('vol-amygdala', 'mmse')",0.338084295406389,0.024794664497293263,0.2284865796679031,0.14555665293604797,44,64.6 (10.8),0.41
"('vol-brain-stem', 'mmse')",0.20265651733246526,0.1870655098409488,0.20260670942134962,0.19816053678973056,44,64.6 (10.8),0.41
"('alpha_bandpower_mean_o_w', 'mmse')",-0.008918722591706896,0.9541802978870284,0.04147707874507984,0.7942449732320751,44,64.6 (10.8),0.41
"('vol-total_ventricle', 'mmse')",-0.31027964778994827,0.04038317080041458,-0.21284719782240313,0.17594520525132265,44,64.6 (10.8),0.41
