pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",-0.34625270629818916,0.013771402904909181,-0.27923559779616924,0.05460199896836283,50,65.1 (2.9),0.54
"('slowdelta_bandpower_total', 'vol-thalamus')",0.0010400776591013988,0.9942804605573089,-0.10992510818044332,0.45701762917335886,50,65.1 (2.9),0.54
"('so_rate_f', 'vol-ctx--anterior')",-0.3238641278438945,0.021769590719911223,-0.2806521812518515,0.05333590638507987,50,65.1 (2.9),0.54
"('so_rate_f', 'vol-thalamus')",1.0385682209849284e-05,0.9999428871381719,-0.058657441359321764,0.6920905485810099,50,65.1 (2.9),0.54
"('ss_dens_f', 'vol-thalamus')",0.3778304657467239,0.00682696910024358,0.36236960983586725,0.01137167831277786,50,65.1 (2.9),0.54
"('ss_dens_f', 'vol-hippocampus')",0.08150603790449237,0.5736424910665592,0.06739291199308503,0.6490213512824274,50,65.1 (2.9),0.54
"('fs_dens_c', 'vol-thalamus')",0.4678863267572148,0.0006119611233494026,0.47473897021015454,0.0006513573303320268,50,65.1 (2.9),0.54
"('fs_dens_c', 'vol-hippocampus')",0.14645086368509144,0.3101742212673012,0.15189154368204458,0.3027326353255362,50,65.1 (2.9),0.54
"('perc_r', 'vol-ctx--isthmuscingulate')",0.08734698102986677,0.5463960981835377,0.13151289279110187,0.3729242990003865,50,65.1 (2.9),0.54
"('perc_r', 'vol-amygdala')",0.13787846562297795,0.3396487207235004,0.11524927002257551,0.4353747986264378,50,65.1 (2.9),0.54
"('perc_r', 'vol-brain-stem')",0.37136596288955287,0.007925435136219995,0.4215201669388002,0.0028469365473329194,50,65.1 (2.9),0.54
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.04538079522414622,0.7543295107812862,0.020432649773958773,0.8903634461139276,50,65.1 (2.9),0.54
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.06052717318531898,0.6762762963359235,-0.04646025106840528,0.7538471788804026,50,65.1 (2.9),0.54
"('slowdelta_bandpower_total', 'mmse')",0.05292016986964557,0.8514193590290305,0.08731891252599507,0.7766775938314081,15,64.8 (3.1),0.6
"('so_rate_f', 'mmse')",0.09943061760989248,0.72441823284359,0.10661570269601318,0.7288427154306045,15,64.8 (3.1),0.6
"('vol-ctx--anterior', 'mmse')",-0.023167845314586155,0.9346829621824081,-0.002460570445622065,0.993634809615408,15,64.8 (3.1),0.6
"('vol-thalamus', 'mmse')",0.14665350347584538,0.6019865859146982,0.1766378575647118,0.5637535485534716,15,64.8 (3.1),0.6
"('ss_dens_f', 'mmse')",0.5856042868566245,0.02180731951548009,0.6267779234489562,0.02187765278438897,15,64.8 (3.1),0.6
"('fs_dens_c', 'mmse')",0.47737102925014796,0.0719443442369623,0.5426468094892339,0.05534824765065509,15,64.8 (3.1),0.6
"('vol-hippocampus', 'mmse')",0.15768861700431527,0.574610964797006,0.18587345850144257,0.5431970704076425,15,64.8 (3.1),0.6
"('perc_r', 'mmse')",0.4621605038443417,0.08283969467740604,0.48682854375549084,0.09157401858682085,15,64.8 (3.1),0.6
"('vol-ctx--isthmuscingulate', 'mmse')",0.3137231955324315,0.25483693865211365,0.31394478365651823,0.29620769952067444,15,64.8 (3.1),0.6
"('vol-amygdala', 'mmse')",0.27849523676670823,0.3148473789103765,0.3450006443487789,0.248308465354953,15,64.8 (3.1),0.6
"('vol-brain-stem', 'mmse')",0.22013966457924888,0.4304769749360148,0.21468548334815138,0.4812177965510527,15,64.8 (3.1),0.6
"('alpha_bandpower_mean_o_w', 'mmse')",0.20659867748058086,0.46005016378022673,0.22294205257873503,0.46409063858047017,15,64.8 (3.1),0.6
"('vol-total_ventricle', 'mmse')",-0.1860345860532857,0.5067959890831227,-0.23008821486731196,0.44950557722530016,15,64.8 (3.1),0.6
