pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.2732562319641388,0.02642120343372616,0.19893387763697865,0.1150487559531628,66,51.2 (7.2),0.55
"('slowdelta_bandpower_total', 'vol-thalamus')",0.25004158241992736,0.04288561838612009,0.06969777656482261,0.5842008433608774,66,51.2 (7.2),0.55
"('so_rate_f', 'vol-ctx--anterior')",0.19928140002411476,0.10867607259915193,0.17703255497177509,0.1616846379582726,66,51.2 (7.2),0.55
"('so_rate_f', 'vol-thalamus')",0.0837829630318014,0.5036049614013853,0.029620169300628725,0.8162724069292917,66,51.2 (7.2),0.55
"('ss_dens_f', 'vol-thalamus')",-0.22108017932855045,0.0744411974721263,-0.2697876136953517,0.031090503932823504,66,51.2 (7.2),0.55
"('ss_dens_f', 'vol-hippocampus')",-0.17814801512459835,0.15240021940877116,-0.209296215098347,0.09695303658072472,66,51.2 (7.2),0.55
"('fs_dens_c', 'vol-thalamus')",-0.05303431165930424,0.6723547356685424,-0.10910411299550023,0.39078422620423936,66,51.2 (7.2),0.55
"('fs_dens_c', 'vol-hippocampus')",-0.09785848424661142,0.4343938208296918,-0.11082113373120897,0.3833256250283301,66,51.2 (7.2),0.55
"('perc_r', 'vol-ctx--isthmuscingulate')",-0.13377907739442146,0.2842219181334864,-0.137781850440076,0.2776035938623923,66,51.2 (7.2),0.55
"('perc_r', 'vol-amygdala')",-0.08111343426024714,0.5173432506826117,-0.07731325069873783,0.5437011312320725,66,51.2 (7.2),0.55
"('perc_r', 'vol-brain-stem')",-0.286944473354758,0.019493127815950986,-0.28646543262609675,0.021740016877015874,66,51.2 (7.2),0.55
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.29708299094800916,0.015419909593016326,0.10487664336362809,0.4095108020993169,66,51.2 (7.2),0.55
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.19144630712055033,0.12358910761320022,-0.06800277975309534,0.5933977798191097,66,51.2 (7.2),0.55
"('slowdelta_bandpower_total', 'mmse')",0.20010082412753574,0.4745866777438057,0.42752814304948555,0.14505695994423287,15,53.0 (6.1),0.53
"('so_rate_f', 'mmse')",-0.056060999779677434,0.8426995353269069,0.0019183934260312752,0.9950373366073506,15,53.0 (6.1),0.53
"('vol-ctx--anterior', 'mmse')",-0.3563530588275944,0.19232897134777593,-0.3376009248024546,0.25927208555126274,15,53.0 (6.1),0.53
"('vol-thalamus', 'mmse')",-0.04384166514971713,0.8767105161328829,0.16507186137499372,0.5899381620325101,15,53.0 (6.1),0.53
"('ss_dens_f', 'mmse')",-0.4518215369763916,0.09088483483264569,-0.4349352647369584,0.1374652506252266,15,53.0 (6.1),0.53
"('fs_dens_c', 'mmse')",-0.07638671053760064,0.7867191407091476,-0.06357417570028638,0.836532823454451,15,53.0 (6.1),0.53
"('vol-hippocampus', 'mmse')",0.017290837316159054,0.9512307461696996,0.04615476779481492,0.8809829297428751,15,53.0 (6.1),0.53
"('perc_r', 'mmse')",0.14269157123975115,0.6119394438563119,0.09877785482164128,0.7481733454690227,15,53.0 (6.1),0.53
"('vol-ctx--isthmuscingulate', 'mmse')",0.22114426032467605,0.4283224647595345,0.2619245756830562,0.3873325243409096,15,53.0 (6.1),0.53
"('vol-amygdala', 'mmse')",0.1554775571561302,0.5800544006771433,0.19941280922355448,0.5136545879587637,15,53.0 (6.1),0.53
"('vol-brain-stem', 'mmse')",-0.10146047991716392,0.7190005695694291,0.030368890121962706,0.921547313389428,15,53.0 (6.1),0.53
"('alpha_bandpower_mean_o_w', 'mmse')",0.47620757005806696,0.07273920887738528,0.626399409972775,0.021981514283510046,15,53.0 (6.1),0.53
"('vol-total_ventricle', 'mmse')",0.11826378517847161,0.6746492144767038,0.06270401585307431,0.8387437376121312,15,53.0 (6.1),0.53
