pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.15204667345721914,0.22662486987378433,0.14214458202569658,0.2664396964148514,65,64.8 (2.8),0.62
"('slowdelta_bandpower_total', 'vol-thalamus')",0.16255687704789334,0.1957446394163185,0.14465578904924214,0.2579964795159828,65,64.8 (2.8),0.62
"('so_rate_f', 'vol-ctx--anterior')",0.13154145408071216,0.29625853485609,0.11813879519714128,0.3564476876854056,65,64.8 (2.8),0.62
"('so_rate_f', 'vol-thalamus')",0.15023393846979485,0.23227593127970375,0.1311128478652288,0.305709496295132,65,64.8 (2.8),0.62
"('ss_dens_f', 'vol-thalamus')",-0.001325000350292524,0.991642136784184,-0.03139855884865682,0.8070078141742658,65,64.8 (2.8),0.62
"('ss_dens_f', 'vol-hippocampus')",-0.18062623442157952,0.14990350061431154,-0.21640044966643787,0.08847835614224354,65,64.8 (2.8),0.62
"('fs_dens_c', 'vol-thalamus')",0.16484102194596784,0.1894522651817107,0.16698833860263246,0.19084154614297216,65,64.8 (2.8),0.62
"('fs_dens_c', 'vol-hippocampus')",-0.014054481085210284,0.9115230120930458,-0.004070677833573817,0.9747407102455696,65,64.8 (2.8),0.62
"('perc_r', 'vol-ctx--isthmuscingulate')",-0.024102758128838754,0.848854815131736,-0.0693083722007205,0.5893681960558943,65,64.8 (2.8),0.62
"('perc_r', 'vol-amygdala')",-0.11809934339432276,0.34878066310827244,-0.14927917978390234,0.2429292224116842,65,64.8 (2.8),0.62
"('perc_r', 'vol-brain-stem')",-0.15562835770104844,0.21574227606827578,-0.18592104414416194,0.144591140222528,65,64.8 (2.8),0.62
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.02436013404710032,0.8472601297177559,0.02347856675954795,0.8550736551105229,65,64.8 (2.8),0.62
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.1417512431576945,0.2600135496495383,-0.14897987828253464,0.2438859558910792,65,64.8 (2.8),0.62
"('slowdelta_bandpower_total', 'mmse')",-0.11838225027668824,0.7001007820622205,-0.09393073529488333,0.7835458106378245,13,65.5 (2.4),0.54
"('so_rate_f', 'mmse')",-0.11334879788679106,0.7123533622911159,-0.09851151901330901,0.7732224639535727,13,65.5 (2.4),0.54
"('vol-ctx--anterior', 'mmse')",-0.019465015394461875,0.9496745698405115,0.07522543606485485,0.8260108110272172,13,65.5 (2.4),0.54
"('vol-thalamus', 'mmse')",0.34561735039655933,0.247407473989293,0.520389447276689,0.10078037538237067,13,65.5 (2.4),0.54
"('ss_dens_f', 'mmse')",-0.04858416747129976,0.8747615402997362,0.1555684659173025,0.647846655638722,13,65.5 (2.4),0.54
"('fs_dens_c', 'mmse')",-0.0673447179615147,0.8269655334380359,-0.15813133510583813,0.642377951543998,13,65.5 (2.4),0.54
"('vol-hippocampus', 'mmse')",0.11665402746322276,0.70430031011048,0.2462845811245316,0.46536878061976183,13,65.5 (2.4),0.54
"('perc_r', 'mmse')",0.08281412305344157,0.7879562499387202,-0.15309168966014167,0.65314653839818,13,65.5 (2.4),0.54
"('vol-ctx--isthmuscingulate', 'mmse')",0.15473046101189522,0.6137463012980219,0.08443118787215596,0.8050526404058458,13,65.5 (2.4),0.54
"('vol-amygdala', 'mmse')",0.23137043493827564,0.44691241488852684,0.5840402346017423,0.05921033639338189,13,65.5 (2.4),0.54
"('vol-brain-stem', 'mmse')",0.25835663255715285,0.39406621659038876,0.4278455438606535,0.18928580325454925,13,65.5 (2.4),0.54
"('alpha_bandpower_mean_o_w', 'mmse')",-0.24853791419556964,0.4129059662326516,-0.25637975508595096,0.44666441601853113,13,65.5 (2.4),0.54
"('vol-total_ventricle', 'mmse')",-0.3830592482151467,0.1963778144632556,-0.48280254220456387,0.13252663120438735,13,65.5 (2.4),0.54
