pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.03469524812303818,0.7227529648928147,-0.056503196755352994,0.5669748736427667,107,49.6 (8.7),0.64
"('slowdelta_bandpower_total', 'vol-thalamus')",0.17807717052930183,0.066490034972975,-0.04453902952452184,0.6518814148697594,107,49.6 (8.7),0.64
"('so_rate_f', 'vol-ctx--anterior')",-0.004758112743856645,0.9612058126841765,-0.0951656211639416,0.3342052249445101,107,49.6 (8.7),0.64
"('so_rate_f', 'vol-thalamus')",0.15792565846779869,0.10424341835925768,-0.011830451971161145,0.9046581349182918,107,49.6 (8.7),0.64
"('ss_dens_f', 'vol-thalamus')",-0.05419981613882563,0.5792572449306072,-0.04932235544468787,0.6173158385767881,107,49.6 (8.7),0.64
"('ss_dens_f', 'vol-hippocampus')",0.045222340353631804,0.6437042224177428,0.04247405071716763,0.6670400965344683,107,49.6 (8.7),0.64
"('fs_dens_c', 'vol-thalamus')",0.1860802055614177,0.05498224741184733,0.06867336091357143,0.48637157873082815,107,49.6 (8.7),0.64
"('fs_dens_c', 'vol-hippocampus')",0.18331444164076438,0.05875846376036536,0.12843063547471775,0.1916602209586911,107,49.6 (8.7),0.64
"('perc_r', 'vol-ctx--isthmuscingulate')",-0.06323465739772063,0.5175868792207273,-0.06395446484368472,0.5168830484611114,107,49.6 (8.7),0.64
"('perc_r', 'vol-amygdala')",0.0015481884670518614,0.987372811879501,0.003822254875751598,0.9691313650103353,107,49.6 (8.7),0.64
"('perc_r', 'vol-brain-stem')",0.050194709267613366,0.6076411468501,0.06621734125006142,0.5021308961246905,107,49.6 (8.7),0.64
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.08471020802799242,0.3856583061676822,0.056314219411107355,0.568274495660896,107,49.6 (8.7),0.64
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.01566047314383097,0.8728020602851537,0.005951373638296903,0.9519533713209556,107,49.6 (8.7),0.64
"('slowdelta_bandpower_total', 'mmse')",0.04848193067494579,0.8810621289022003,0.09784018855414554,0.7880116484177964,12,52.7 (5.7),0.58
"('so_rate_f', 'mmse')",-0.00630395521096816,0.9844871822065925,0.021691308062345236,0.952572583022089,12,52.7 (5.7),0.58
"('vol-ctx--anterior', 'mmse')",0.2498435442980603,0.433533507090461,0.07752089027175828,0.831438454035455,12,52.7 (5.7),0.58
"('vol-thalamus', 'mmse')",0.26882666862219784,0.3981754146678632,0.24808581009836872,0.4894975172787853,12,52.7 (5.7),0.58
"('ss_dens_f', 'mmse')",0.16342841605224645,0.6117955578570743,0.2255903135027042,0.5308772715341749,12,52.7 (5.7),0.58
"('fs_dens_c', 'mmse')",-0.30246617458795055,0.33929023686891846,-0.34867111045995336,0.3234389148193512,12,52.7 (5.7),0.58
"('vol-hippocampus', 'mmse')",0.029240528157776946,0.9281228588387369,-0.16250416523020011,0.6537616542955722,12,52.7 (5.7),0.58
"('perc_r', 'mmse')",0.2722372606309168,0.391982475043115,0.381553530394196,0.27661630892381306,12,52.7 (5.7),0.58
"('vol-ctx--isthmuscingulate', 'mmse')",0.1762242606289974,0.5837857024869002,0.14892555004827734,0.6813550148080366,12,52.7 (5.7),0.58
"('vol-amygdala', 'mmse')",0.258977293973408,0.41633463090540773,0.11928948778332973,0.7427359025348086,12,52.7 (5.7),0.58
"('vol-brain-stem', 'mmse')",0.045912574793032596,0.887328987294645,0.0019883738834461104,0.9956504493265059,12,52.7 (5.7),0.58
"('alpha_bandpower_mean_o_w', 'mmse')",0.22355489654775426,0.48489525149330637,0.17042423818656804,0.6378374385792653,12,52.7 (5.7),0.58
"('vol-total_ventricle', 'mmse')",-0.5140325881781534,0.0873330163557833,-0.45122784042281666,0.1905498404627617,12,52.7 (5.7),0.58
