pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.020060407261903355,0.7552108671305315,-0.09300683498244065,0.14916586776642812,244,60.8 (12.8),0.57
"('slowdelta_bandpower_total', 'vol-thalamus')",0.27065017696034566,1.8171552502441302e-05,-0.013122193051256965,0.8390684089844181,244,60.8 (12.8),0.57
"('so_rate_f', 'vol-ctx--anterior')",0.028369988505512988,0.6592372195104818,-0.03356508676597434,0.6033471650931193,244,60.8 (12.8),0.57
"('so_rate_f', 'vol-thalamus')",0.1732584400973522,0.006667017838207034,-0.017428772104973962,0.7873566217475174,244,60.8 (12.8),0.57
"('ss_dens_f', 'vol-thalamus')",0.20346457128121398,0.0013964282802564178,0.016400293929212814,0.7996309007006176,244,60.8 (12.8),0.57
"('ss_dens_f', 'vol-hippocampus')",0.11412732781311237,0.07517588555918661,0.012054378189194435,0.8520072162839237,244,60.8 (12.8),0.57
"('fs_dens_c', 'vol-thalamus')",0.321074999908303,2.9602586269839874e-07,0.06403529712406994,0.3211895976692033,244,60.8 (12.8),0.57
"('fs_dens_c', 'vol-hippocampus')",0.20689049808832966,0.001152523840110879,0.06320868098857864,0.3274887222115336,244,60.8 (12.8),0.57
"('perc_r', 'vol-ctx--isthmuscingulate')",0.035458192125713446,0.5814939359551924,0.03148719004550898,0.6259674673264424,244,60.8 (12.8),0.57
"('perc_r', 'vol-amygdala')",0.0591728744253535,0.35737933483983036,0.027621566446584863,0.6689805551329449,244,60.8 (12.8),0.57
"('perc_r', 'vol-brain-stem')",0.04054985567653929,0.5284226072302404,0.03071919602640913,0.6344188600656457,244,60.8 (12.8),0.57
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.01736044575944174,0.7873090096847531,0.005031748765406018,0.9379307851097645,244,60.8 (12.8),0.57
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.05966581537813535,0.3533811140243405,-0.06639827376573407,0.3036195550710694,244,60.8 (12.8),0.57
"('slowdelta_bandpower_total', 'mmse')",0.012742075643932413,0.9135986332543589,-0.07433970537768034,0.5319304849307958,75,65.8 (12.2),0.51
"('so_rate_f', 'mmse')",0.014859504589872757,0.8993103295633245,-0.05340794120922072,0.6536031953267509,75,65.8 (12.2),0.51
"('vol-ctx--anterior', 'mmse')",0.05187775365096372,0.6584701097691277,-0.037845451834155074,0.7505724695252193,75,65.8 (12.2),0.51
"('vol-thalamus', 'mmse')",0.15808386044391262,0.17554922922975758,-0.005170440405865891,0.965371465251309,75,65.8 (12.2),0.51
"('ss_dens_f', 'mmse')",0.12488885474990724,0.2857056394306987,0.06573472535214545,0.5805769526042105,75,65.8 (12.2),0.51
"('fs_dens_c', 'mmse')",0.20105877551021908,0.08368646276664402,0.12774043294828197,0.2814817742605149,75,65.8 (12.2),0.51
"('vol-hippocampus', 'mmse')",0.1468561230674451,0.20865243734759795,0.049064663573178395,0.6801769750961623,75,65.8 (12.2),0.51
"('perc_r', 'mmse')",0.20155554572460582,0.08290937098121733,0.18815223547696075,0.11091360712467152,75,65.8 (12.2),0.51
"('vol-ctx--isthmuscingulate', 'mmse')",0.11305283425599258,0.3341830611046071,0.08910242655581584,0.45346876740334985,75,65.8 (12.2),0.51
"('vol-amygdala', 'mmse')",0.22836404703148266,0.048770030823841175,0.14013882217868281,0.23699678454843426,75,65.8 (12.2),0.51
"('vol-brain-stem', 'mmse')",-0.060880677329097674,0.6038525738403243,-0.08606627145605882,0.4690635471892115,75,65.8 (12.2),0.51
"('alpha_bandpower_mean_o_w', 'mmse')",0.17661339822172162,0.12957753945385314,0.14142054004027008,0.23269249818546525,75,65.8 (12.2),0.51
"('vol-total_ventricle', 'mmse')",-0.24022522225990464,0.037896376536759924,-0.14215422302836453,0.2302532081655492,75,65.8 (12.2),0.51
