pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.028050383333700656,0.8150658918299936,0.09384028956391627,0.43970302052821686,72,65.2 (2.9),0.57
"('slowdelta_bandpower_total', 'vol-thalamus')",0.20771286972689065,0.07997935439590903,0.15451230761656637,0.20154877085757256,72,65.2 (2.9),0.57
"('so_rate_f', 'vol-ctx--anterior')",0.1674947061779872,0.1596283068510983,0.19060808017482136,0.11397966968328775,72,65.2 (2.9),0.57
"('so_rate_f', 'vol-thalamus')",0.11311766833100033,0.3441088839810119,0.02446218627482199,0.8406905683809377,72,65.2 (2.9),0.57
"('ss_dens_f', 'vol-thalamus')",0.042464676271878624,0.723205230175564,-0.003759223812779409,0.9753606877889986,72,65.2 (2.9),0.57
"('ss_dens_f', 'vol-hippocampus')",0.12670691542546156,0.2888676053643902,0.10084548257647644,0.40616438397047494,72,65.2 (2.9),0.57
"('fs_dens_c', 'vol-thalamus')",0.2697149546090439,0.02195227396208298,0.2374049059039365,0.047827497344752765,72,65.2 (2.9),0.57
"('fs_dens_c', 'vol-hippocampus')",0.20804084928813568,0.07949349854489662,0.1806985273382456,0.13440272540340795,72,65.2 (2.9),0.57
"('perc_r', 'vol-ctx--isthmuscingulate')",-0.039707132039693796,0.7405235354982462,-0.052514089265015655,0.6659220635554213,72,65.2 (2.9),0.57
"('perc_r', 'vol-amygdala')",0.11273425161021634,0.34575741816729877,0.1312818405438418,0.2786742636606227,72,65.2 (2.9),0.57
"('perc_r', 'vol-brain-stem')",0.17629871802473224,0.13850175590380276,0.20264015274401298,0.09249409061030255,72,65.2 (2.9),0.57
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.03947623044479325,0.7419796685320718,-0.03229911346569534,0.7906726282986126,72,65.2 (2.9),0.57
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.11832528485074083,0.32220610886392387,-0.07592698379600346,0.5321578835160006,72,65.2 (2.9),0.57
"('slowdelta_bandpower_total', 'mmse')",-0.5832661844673618,0.0034857804053281594,-0.5875246442827249,0.005101087273720391,23,65.6 (3.0),0.43
"('so_rate_f', 'mmse')",-0.3975181258729169,0.06033056801514933,-0.35537352918950704,0.11389682144777774,23,65.6 (3.0),0.43
"('vol-ctx--anterior', 'mmse')",-0.2409922453953811,0.2679776344837772,-0.33332428507314577,0.1397933822442775,23,65.6 (3.0),0.43
"('vol-thalamus', 'mmse')",-0.22669254216502338,0.2982604618884351,-0.3061522899170013,0.17710106261428354,23,65.6 (3.0),0.43
"('ss_dens_f', 'mmse')",0.18399230298026747,0.40068556122673304,0.19372362034787055,0.40011997698652224,23,65.6 (3.0),0.43
"('fs_dens_c', 'mmse')",-0.08184750519817852,0.7104432213345033,-0.03143116831841461,0.8924151840416599,23,65.6 (3.0),0.43
"('vol-hippocampus', 'mmse')",-0.27101888021311143,0.21098960227123476,-0.29661807529325135,0.19166827243226608,23,65.6 (3.0),0.43
"('perc_r', 'mmse')",0.069021305752414,0.7543350669802749,0.04444733429513326,0.8482866218989732,23,65.6 (3.0),0.43
"('vol-ctx--isthmuscingulate', 'mmse')",0.043048810239197474,0.8453682885134859,0.013539005737755017,0.953552072503716,23,65.6 (3.0),0.43
"('vol-amygdala', 'mmse')",0.02226898544745906,0.9196658433866985,-0.006793520455845577,0.9766845828516774,23,65.6 (3.0),0.43
"('vol-brain-stem', 'mmse')",-0.1976604141850709,0.36597011641247074,-0.21344609195527245,0.3528853527844801,23,65.6 (3.0),0.43
"('alpha_bandpower_mean_o_w', 'mmse')",0.24685916675725758,0.2561417042335075,0.2487271151682057,0.2769410446454469,23,65.6 (3.0),0.43
"('vol-total_ventricle', 'mmse')",-0.10040071659818771,0.6485281729238602,-0.06390045871412114,0.7831788144957075,23,65.6 (3.0),0.43
