pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.08549030990281017,0.33924805197971497,-0.04295650429406501,0.6343144441355139,127,64.5 (10.4),0.46
"('slowdelta_bandpower_total', 'vol-thalamus')",0.3648070503950285,2.478118402360547e-05,0.11411363698964563,0.20509966844706423,127,64.5 (10.4),0.46
"('so_rate_f', 'vol-ctx--anterior')",0.13580839090359845,0.12790564321704173,0.06137924739539347,0.49651193290740137,127,64.5 (10.4),0.46
"('so_rate_f', 'vol-thalamus')",0.24023718700713956,0.006517761329738521,0.04208045122009552,0.6412486361087206,127,64.5 (10.4),0.46
"('ss_dens_f', 'vol-thalamus')",0.1993693393803947,0.024628952634836422,-0.013667349032142798,0.8797567909545702,127,64.5 (10.4),0.46
"('ss_dens_f', 'vol-hippocampus')",-0.05326972797047051,0.551972944102664,-0.13870370786639402,0.122917691866249,127,64.5 (10.4),0.46
"('fs_dens_c', 'vol-thalamus')",0.25972314466433216,0.0031904267761850994,0.19176379504551133,0.03216374575475156,127,64.5 (10.4),0.46
"('fs_dens_c', 'vol-hippocampus')",0.010402940147312068,0.9075897990705565,-0.041712331104124825,0.644171700081708,127,64.5 (10.4),0.46
"('perc_r', 'vol-ctx--isthmuscingulate')",-0.055257813748959876,0.5372093048340117,-0.05225845746976635,0.5627286588573974,127,64.5 (10.4),0.46
"('perc_r', 'vol-amygdala')",-0.06040344775573801,0.49993109129246704,-0.1245790302561755,0.1662843798953457,127,64.5 (10.4),0.46
"('perc_r', 'vol-brain-stem')",-0.10160061050376971,0.2557039326731888,-0.11813884241881531,0.18946510193012056,127,64.5 (10.4),0.46
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.025821242111072083,0.7732230879051485,-0.00033708754418144743,0.9970231865144323,127,64.5 (10.4),0.46
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.06106924660465565,0.4952087272544576,-0.06482020603070049,0.4726419705537872,127,64.5 (10.4),0.46
"('slowdelta_bandpower_total', 'mmse')",-0.025228444028163488,0.9112659461775505,-0.3585606644571191,0.12056015383603179,22,67.0 (9.3),0.32
"('so_rate_f', 'mmse')",-0.03726897494411804,0.8692117677243505,-0.3181444062714237,0.17162390335822092,22,67.0 (9.3),0.32
"('vol-ctx--anterior', 'mmse')",-0.06752927516986376,0.7652510180877539,-0.12854448825676146,0.5891264682460272,22,67.0 (9.3),0.32
"('vol-thalamus', 'mmse')",-0.044356622495689196,0.8446081603530744,-0.17564886073069488,0.4588543763783923,22,67.0 (9.3),0.32
"('ss_dens_f', 'mmse')",0.18215491746429702,0.4171752139850762,0.04684710088962982,0.8445134344135998,22,67.0 (9.3),0.32
"('fs_dens_c', 'mmse')",0.04665893040277453,0.8366449658632094,0.0319408384945131,0.8936559386149123,22,67.0 (9.3),0.32
"('vol-hippocampus', 'mmse')",-0.37219931741772605,0.08804958728564724,-0.4263210188020105,0.060875394736278836,22,67.0 (9.3),0.32
"('perc_r', 'mmse')",0.3269526082742472,0.13749094958978142,0.3295015146724047,0.15599369969622356,22,67.0 (9.3),0.32
"('vol-ctx--isthmuscingulate', 'mmse')",-0.26116096650889575,0.24040994321439466,-0.1429069363412639,0.5478092037546027,22,67.0 (9.3),0.32
"('vol-amygdala', 'mmse')",0.031131506974271916,0.8906126345578281,-0.03007025220766603,0.8998529547423739,22,67.0 (9.3),0.32
"('vol-brain-stem', 'mmse')",-0.26833176140193304,0.2272708550384754,-0.3269671454882722,0.15939276031764424,22,67.0 (9.3),0.32
"('alpha_bandpower_mean_o_w', 'mmse')",-0.09420695200087165,0.6766736547102963,-0.16547163870961956,0.48568234509282426,22,67.0 (9.3),0.32
"('vol-total_ventricle', 'mmse')",0.18774457125945582,0.4027750362096184,0.2516115340849502,0.2845637205773581,22,67.0 (9.3),0.32
