pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.16812881269785201,0.05039978861482464,0.011205028836671408,0.8977561223710471,136,63.1 (10.8),0.52
"('slowdelta_bandpower_total', 'vol-thalamus')",0.2820009009076986,0.0008807569055266425,-0.07862742238113388,0.36649926903381236,136,63.1 (10.8),0.52
"('so_rate_f', 'vol-ctx--anterior')",0.12843918154030007,0.13617184926876147,-0.015056292804284279,0.8629138764669975,136,63.1 (10.8),0.52
"('so_rate_f', 'vol-thalamus')",0.24295203387484418,0.004372461684592574,-0.08129812733412912,0.3503946853425731,136,63.1 (10.8),0.52
"('ss_dens_f', 'vol-thalamus')",0.1939177367065522,0.023691626935031386,0.017254204284505206,0.8431425788045195,136,63.1 (10.8),0.52
"('ss_dens_f', 'vol-hippocampus')",0.09229486854931246,0.28521302558439665,0.024120820631061517,0.7820542119063363,136,63.1 (10.8),0.52
"('fs_dens_c', 'vol-thalamus')",0.30144933868560303,0.00036198130274211923,0.0910552957448641,0.2954032869412352,136,63.1 (10.8),0.52
"('fs_dens_c', 'vol-hippocampus')",0.22011690802653422,0.010025445690431714,0.14369047663615825,0.097648647089337,136,63.1 (10.8),0.52
"('perc_r', 'vol-ctx--isthmuscingulate')",0.040722129042284894,0.6378482366218462,0.05832840688768922,0.5032118435991078,136,63.1 (10.8),0.52
"('perc_r', 'vol-amygdala')",-0.014030525814285474,0.8712110933375853,-0.06937533289414724,0.4257332846211437,136,63.1 (10.8),0.52
"('perc_r', 'vol-brain-stem')",-0.013230339798299573,0.8784980442630156,-0.026798443303600233,0.7585668333330894,136,63.1 (10.8),0.52
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.09581049286133378,0.26718254711300654,0.07327728618853602,0.4001065396395217,136,63.1 (10.8),0.52
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",0.032523090637748726,0.7070062941920917,0.07293519419678045,0.40231592484801104,136,63.1 (10.8),0.52
"('slowdelta_bandpower_total', 'mmse')",0.12874515184063506,0.5582433107825149,-0.1833573266741738,0.42627772795108865,23,67.2 (10.6),0.39
"('so_rate_f', 'mmse')",0.15676355950165266,0.4750287147298969,-0.1346808739677619,0.5605293398238325,23,67.2 (10.6),0.39
"('vol-ctx--anterior', 'mmse')",0.021367098128765027,0.9229097551275941,0.047232687199941774,0.8388954917052269,23,67.2 (10.6),0.39
"('vol-thalamus', 'mmse')",0.2008196057037525,0.35820162144478535,-0.00443790569655609,0.9847679300474105,23,67.2 (10.6),0.39
"('ss_dens_f', 'mmse')",0.3287251575146637,0.1256410328719774,0.3545526195550442,0.114793740050207,23,67.2 (10.6),0.39
"('fs_dens_c', 'mmse')",0.24026833383291551,0.2694617772649297,0.27107857958812354,0.23460165982072675,23,67.2 (10.6),0.39
"('vol-hippocampus', 'mmse')",0.01867146376752092,0.9326123110055204,-0.03702489658679821,0.8734057300623269,23,67.2 (10.6),0.39
"('perc_r', 'mmse')",0.29391592107926257,0.17343273727925143,0.25702330286616554,0.26070267568460065,23,67.2 (10.6),0.39
"('vol-ctx--isthmuscingulate', 'mmse')",-0.048848016688588625,0.8248321370636298,0.06619685162007218,0.7755756101494877,23,67.2 (10.6),0.39
"('vol-amygdala', 'mmse')",0.22871686627108184,0.2938498802339184,0.23964377341037527,0.2954295817877773,23,67.2 (10.6),0.39
"('vol-brain-stem', 'mmse')",-0.0869963039526805,0.6930624414803028,-0.2462128641914028,0.28198442919094857,23,67.2 (10.6),0.39
"('alpha_bandpower_mean_o_w', 'mmse')",-0.14928665434134542,0.49659771698378874,-0.060132297675756285,0.7956959630319884,23,67.2 (10.6),0.39
"('vol-total_ventricle', 'mmse')",0.13204472810368825,0.5481139167497432,0.32900188466941227,0.14532081302213679,23,67.2 (10.6),0.39
