pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.01949103419670059,0.8577902765615286,-0.12607813939170862,0.2502397797367652,87,64.7 (10.9),0.47
"('slowdelta_bandpower_total', 'vol-thalamus')",0.2451751254745515,0.022089926956241946,-0.0708877845699872,0.5191293285954708,87,64.7 (10.9),0.47
"('so_rate_f', 'vol-ctx--anterior')",-0.041928081667966556,0.6997986418186571,-0.1536011659550836,0.16046506476906644,87,64.7 (10.9),0.47
"('so_rate_f', 'vol-thalamus')",0.15665446966305205,0.14733633565518112,-0.10561447949579288,0.3360525801459382,87,64.7 (10.9),0.47
"('ss_dens_f', 'vol-thalamus')",0.32836990434457114,0.001902052258011733,0.17233883165602462,0.11475286564456647,87,64.7 (10.9),0.47
"('ss_dens_f', 'vol-hippocampus')",-0.026117769519910156,0.8102312026075764,-0.13786134093075858,0.20831321638965092,87,64.7 (10.9),0.47
"('fs_dens_c', 'vol-thalamus')",0.2752767816771662,0.009864721868980937,0.17065469189042975,0.1183960813261261,87,64.7 (10.9),0.47
"('fs_dens_c', 'vol-hippocampus')",0.003889363991238702,0.9714793162272972,-0.07429329722258608,0.4992035326832873,87,64.7 (10.9),0.47
"('perc_r', 'vol-ctx--isthmuscingulate')",0.09986327651642198,0.3574194260586002,0.07971855551976292,0.46830362213448884,87,64.7 (10.9),0.47
"('perc_r', 'vol-amygdala')",-0.01112331493423556,0.9185551542066466,-0.04612527784660372,0.6750839969966165,87,64.7 (10.9),0.47
"('perc_r', 'vol-brain-stem')",-0.002469136953839147,0.9818915711712735,0.006711887222599791,0.9513870908989667,87,64.7 (10.9),0.47
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",-0.04451232153326665,0.6822599212972537,0.04186809073259829,0.7036067341480303,87,64.7 (10.9),0.47
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",0.22460121090843216,0.03648855851028605,0.17623850488344137,0.1066496146689556,87,64.7 (10.9),0.47
"('slowdelta_bandpower_total', 'mmse')",0.07428093342177403,0.8094239018401952,0.07975043403526604,0.8156954708679763,13,67.1 (9.2),0.15
"('so_rate_f', 'mmse')",-0.0918531708160468,0.7653657191758296,-0.07085560118493942,0.8359959419170994,13,67.1 (9.2),0.15
"('vol-ctx--anterior', 'mmse')",0.10633377432259368,0.7295355600289963,0.09872424775209358,0.7727438417809539,13,67.1 (9.2),0.15
"('vol-thalamus', 'mmse')",0.5500771721770354,0.0514496571192964,0.43561180066586136,0.18050179380981865,13,67.1 (9.2),0.15
"('ss_dens_f', 'mmse')",0.14712774415616225,0.6314762168343198,-0.11642640646217457,0.7331782727634921,13,67.1 (9.2),0.15
"('fs_dens_c', 'mmse')",0.049812196215079124,0.8716192107684376,-0.17718277978769914,0.6022385277344966,13,67.1 (9.2),0.15
"('vol-hippocampus', 'mmse')",0.13342914776126014,0.6638794317530263,0.07421750719409291,0.8283119414924205,13,67.1 (9.2),0.15
"('perc_r', 'mmse')",0.32815774062326925,0.27367248188072474,0.313911062028364,0.3471772917233241,13,67.1 (9.2),0.15
"('vol-ctx--isthmuscingulate', 'mmse')",0.025146445228608316,0.935010337355709,0.4068526115695778,0.21430061649767154,13,67.1 (9.2),0.15
"('vol-amygdala', 'mmse')",0.4049440674329553,0.16987724533802304,0.34540654329293113,0.2981608587308299,13,67.1 (9.2),0.15
"('vol-brain-stem', 'mmse')",0.1363544938343064,0.6569120832657738,0.06329765492637052,0.8533165955649992,13,67.1 (9.2),0.15
"('alpha_bandpower_mean_o_w', 'mmse')",-0.3208993107054887,0.2850521086914129,-0.26100771318266114,0.43820925863774174,13,67.1 (9.2),0.15
"('vol-total_ventricle', 'mmse')",-0.49682305202802834,0.08413773899570164,-0.3131664830888307,0.3483841018422801,13,67.1 (9.2),0.15
