pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.07931912968993421,0.20062581960715462,-0.03867228813111738,0.5347314891589539,262,57.8 (11.9),0.66
"('slowdelta_bandpower_total', 'vol-thalamus')",0.2973786751173515,9.49517746883532e-07,0.04559847591579314,0.464112715241798,262,57.8 (11.9),0.66
"('so_rate_f', 'vol-ctx--anterior')",0.07689288960931348,0.21478815484090102,-0.0014195328725594833,0.9818265573942131,262,57.8 (11.9),0.66
"('so_rate_f', 'vol-thalamus')",0.2276531778077882,0.00020225561829331507,0.06132334682154979,0.3246377570855208,262,57.8 (11.9),0.66
"('ss_dens_f', 'vol-thalamus')",0.13575652227452542,0.028014336698207007,-0.029039121957531545,0.6411554284214989,262,57.8 (11.9),0.66
"('ss_dens_f', 'vol-hippocampus')",0.017607654632778545,0.7766678613098765,-0.05421151499550073,0.38399286576479186,262,57.8 (11.9),0.66
"('fs_dens_c', 'vol-thalamus')",0.31919786350370216,1.2865600543347944e-07,0.1172719989521866,0.05897713660066717,262,57.8 (11.9),0.66
"('fs_dens_c', 'vol-hippocampus')",0.11809714754594777,0.05624723803359561,0.025054913231957018,0.687599494729338,262,57.8 (11.9),0.66
"('perc_r', 'vol-ctx--isthmuscingulate')",0.11560482774422351,0.06168546214606362,0.10928219717490444,0.07859389835256948,262,57.8 (11.9),0.66
"('perc_r', 'vol-amygdala')",0.013777466893697514,0.8243512437885006,-0.0027586224926642667,0.9646914107296161,262,57.8 (11.9),0.66
"('perc_r', 'vol-brain-stem')",-0.049227570204988004,0.42749293654663323,-0.02677177737867953,0.6674291840463897,262,57.8 (11.9),0.66
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.015032366645849657,0.8086481602411869,0.04777127073855434,0.44307254035729005,262,57.8 (11.9),0.66
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",0.13910209086987566,0.024337674300912007,0.1370842751005192,0.02709049332256273,262,57.8 (11.9),0.66
"('slowdelta_bandpower_total', 'mmse')",0.01646960436150169,0.9059072410385126,-0.027370021481837294,0.8472673727771554,54,61.7 (10.6),0.46
"('so_rate_f', 'mmse')",0.005083954272813246,0.9708953749457411,-0.023910953459787825,0.8663812157932895,54,61.7 (10.6),0.46
"('vol-ctx--anterior', 'mmse')",-0.20700514377870755,0.1331234449614162,-0.23328128938689793,0.09603771064118952,54,61.7 (10.6),0.46
"('vol-thalamus', 'mmse')",0.1383441943829623,0.3184549683251462,0.13957213235383598,0.3237192272910867,54,61.7 (10.6),0.46
"('ss_dens_f', 'mmse')",-0.08151999901460866,0.5578708903327868,-0.07322448335553713,0.6059334615421104,54,61.7 (10.6),0.46
"('fs_dens_c', 'mmse')",-0.07505011355897206,0.5896380987304554,-0.06948071188857007,0.6245265833720082,54,61.7 (10.6),0.46
"('vol-hippocampus', 'mmse')",-0.10854080975921655,0.43465082133059385,-0.1292135511748458,0.3612651683400683,54,61.7 (10.6),0.46
"('perc_r', 'mmse')",0.23377048627378522,0.08888254603610259,0.25847653883495103,0.0642890266257259,54,61.7 (10.6),0.46
"('vol-ctx--isthmuscingulate', 'mmse')",-0.20737344207378833,0.13241927774185336,-0.2086546523722691,0.13769020439385715,54,61.7 (10.6),0.46
"('vol-amygdala', 'mmse')",-0.008065186470267202,0.9538434910757365,-0.017933837383242154,0.8995822296354736,54,61.7 (10.6),0.46
"('vol-brain-stem', 'mmse')",-0.02237283235225051,0.8724248470962015,-0.07188633868178819,0.6125516733495061,54,61.7 (10.6),0.46
"('alpha_bandpower_mean_o_w', 'mmse')",-0.09859099923958678,0.4781560352600761,-0.08650199845732014,0.5420233942850675,54,61.7 (10.6),0.46
"('vol-total_ventricle', 'mmse')",-0.0022923132560172255,0.9868747115518473,0.000872497926201938,0.9951020370632657,54,61.7 (10.6),0.46
