pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.11205602731485653,0.11325011408020938,-0.0677083414941524,0.3420016996818578,201,61.6 (12.6),0.59
"('slowdelta_bandpower_total', 'vol-thalamus')",0.36194505511590447,1.2949894711672898e-07,-0.0027770754949411097,0.9689471915018462,201,61.6 (12.6),0.59
"('so_rate_f', 'vol-ctx--anterior')",0.14163478172799607,0.044897007224366674,0.028297764156016883,0.6915490120293548,201,61.6 (12.6),0.59
"('so_rate_f', 'vol-thalamus')",0.22215614505083042,0.0015261378159988886,-0.05297133392019063,0.45744106072326995,201,61.6 (12.6),0.59
"('ss_dens_f', 'vol-thalamus')",0.18534267616480737,0.008434567195277238,0.018532897618466843,0.795007218770276,201,61.6 (12.6),0.59
"('ss_dens_f', 'vol-hippocampus')",-0.051173213444507336,0.4706304984418565,-0.1337144706618489,0.05971989644149433,201,61.6 (12.6),0.59
"('fs_dens_c', 'vol-thalamus')",0.2901298947722272,2.9425824374496432e-05,0.07884061729090647,0.26833658516223297,201,61.6 (12.6),0.59
"('fs_dens_c', 'vol-hippocampus')",0.0514963276460266,0.4678296025926235,-0.06221393647785966,0.3826888056770974,201,61.6 (12.6),0.59
"('perc_r', 'vol-ctx--isthmuscingulate')",-0.013658739174566774,0.8473918448700138,-0.011200869528076796,0.875231258903986,201,61.6 (12.6),0.59
"('perc_r', 'vol-amygdala')",-0.13555341916295333,0.055024747189347564,-0.15552124283628416,0.028275701373409363,201,61.6 (12.6),0.59
"('perc_r', 'vol-brain-stem')",-0.10868316850008437,0.12458922180386564,-0.10236451624556085,0.15023145774204133,201,61.6 (12.6),0.59
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.001593955080955647,0.9820831830395135,-0.009154014198312646,0.8978937944351768,201,61.6 (12.6),0.59
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.057589568741206174,0.41676000119706946,-0.06456216244783514,0.364951978289596,201,61.6 (12.6),0.59
"('slowdelta_bandpower_total', 'mmse')",0.027812813745379306,0.837283258608515,-0.12619656157114523,0.35857705051946653,57,66.8 (10.7),0.49
"('so_rate_f', 'mmse')",-0.04912784973528185,0.716672790143079,-0.1917586198058316,0.1607631646234605,57,66.8 (10.7),0.49
"('vol-ctx--anterior', 'mmse')",-0.05334807667985651,0.6934874056503125,-0.10357391884541474,0.4517449826061891,57,66.8 (10.7),0.49
"('vol-thalamus', 'mmse')",0.313716906784849,0.01748390513245543,0.13416502981400258,0.32878458204340044,57,66.8 (10.7),0.49
"('ss_dens_f', 'mmse')",0.3816122992585972,0.003400495875688424,0.33224178534302884,0.013204034061529715,57,66.8 (10.7),0.49
"('fs_dens_c', 'mmse')",0.321938017779991,0.014600751829686252,0.20303709985863413,0.13709090176538655,57,66.8 (10.7),0.49
"('vol-hippocampus', 'mmse')",0.12808062689595956,0.34237524556359955,0.0521583369600251,0.7052898608881023,57,66.8 (10.7),0.49
"('perc_r', 'mmse')",0.23745774286236906,0.075308039726714,0.23322872229079555,0.08659058044214829,57,66.8 (10.7),0.49
"('vol-ctx--isthmuscingulate', 'mmse')",0.04149783385636431,0.7592294984604329,0.07282345950913131,0.5972420158300815,57,66.8 (10.7),0.49
"('vol-amygdala', 'mmse')",0.3260510284602933,0.013318237398642213,0.2587612091010919,0.05644607878112273,57,66.8 (10.7),0.49
"('vol-brain-stem', 'mmse')",0.04785572229340401,0.7237129483521033,0.033198349667685555,0.8098521484109225,57,66.8 (10.7),0.49
"('alpha_bandpower_mean_o_w', 'mmse')",0.18745014721743725,0.16263148484425996,0.2474391535521191,0.06855428837413889,57,66.8 (10.7),0.49
"('vol-total_ventricle', 'mmse')",-0.12674976613047179,0.347455732439562,-0.026744504970550358,0.8463156808276937,57,66.8 (10.7),0.49
