pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.1701781311101094,0.12637754480948304,0.08837601412287774,0.4356584520478841,82,65.4 (10.5),0.48
"('slowdelta_bandpower_total', 'vol-thalamus')",0.3435210688826167,0.0015792887586257359,0.18606834384006996,0.09842889813722652,82,65.4 (10.5),0.48
"('so_rate_f', 'vol-ctx--anterior')",0.09790618016133953,0.3815345118320378,0.03564993450661353,0.7535635007317452,82,65.4 (10.5),0.48
"('so_rate_f', 'vol-thalamus')",0.3002544286749576,0.00613041606807236,0.1858734824928359,0.09878819360889061,82,65.4 (10.5),0.48
"('ss_dens_f', 'vol-thalamus')",0.23268945180232936,0.03540342578740771,0.04834523969981041,0.6702123473795359,82,65.4 (10.5),0.48
"('ss_dens_f', 'vol-hippocampus')",-0.02937475631016922,0.7933425303201457,-0.09096280645802267,0.4222887623655561,82,65.4 (10.5),0.48
"('fs_dens_c', 'vol-thalamus')",0.18394212414752686,0.09807808000418163,0.061284939668720985,0.5891762486132208,82,65.4 (10.5),0.48
"('fs_dens_c', 'vol-hippocampus')",0.09867988783786934,0.3777651562832453,0.0676531252985043,0.5509960648372847,82,65.4 (10.5),0.48
"('perc_r', 'vol-ctx--isthmuscingulate')",0.15322331378611728,0.16934053062387489,0.14995084998351824,0.18430603646850421,82,65.4 (10.5),0.48
"('perc_r', 'vol-amygdala')",0.055135547456870354,0.6227311414214837,0.046719030730722144,0.6806942674525456,82,65.4 (10.5),0.48
"('perc_r', 'vol-brain-stem')",0.015593845177527037,0.8894115201158793,0.01979714508577575,0.8616287043619457,82,65.4 (10.5),0.48
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.09529307757923763,0.3944314798822744,0.07509525982997005,0.507947494790814,82,65.4 (10.5),0.48
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",0.047503033019757744,0.6717161376370616,0.06272753273241892,0.5804231080688723,82,65.4 (10.5),0.48
"('slowdelta_bandpower_total', 'mmse')",-0.039194525349177695,0.866050032750892,-0.05332474126870463,0.828355815584163,21,68.5 (10.7),0.62
"('so_rate_f', 'mmse')",-0.022308549370718092,0.923534718765869,-0.05325880395169931,0.8285650576993744,21,68.5 (10.7),0.62
"('vol-ctx--anterior', 'mmse')",0.2346384762888573,0.3059340334360824,-0.0461771454148638,0.8510992447956898,21,68.5 (10.7),0.62
"('vol-thalamus', 'mmse')",0.2486135394605617,0.2771676427998386,0.1956833070188674,0.42205334933804706,21,68.5 (10.7),0.62
"('ss_dens_f', 'mmse')",-0.004904037501540753,0.9831682496675404,-0.1841271650960822,0.45049380591641663,21,68.5 (10.7),0.62
"('fs_dens_c', 'mmse')",0.20432269905612935,0.37431737541511034,0.026627212514899384,0.9138336300618701,21,68.5 (10.7),0.62
"('vol-hippocampus', 'mmse')",0.23817242834705948,0.29849413519893264,0.11174983709019652,0.6487723359771043,21,68.5 (10.7),0.62
"('perc_r', 'mmse')",0.3773646001079936,0.09171401835955638,0.37038484035396324,0.11852711573124611,21,68.5 (10.7),0.62
"('vol-ctx--isthmuscingulate', 'mmse')",-0.03894882586194663,0.8668825046515645,-0.25138042561217705,0.2992032118817501,21,68.5 (10.7),0.62
"('vol-amygdala', 'mmse')",0.6042325422998147,0.003719616038836451,0.583578216876488,0.008714419319121463,21,68.5 (10.7),0.62
"('vol-brain-stem', 'mmse')",-0.040446986832845644,0.8618086178032399,0.14079385265251484,0.5653463764441773,21,68.5 (10.7),0.62
"('alpha_bandpower_mean_o_w', 'mmse')",-0.08398587036458488,0.7173929887325049,-0.09777669635686159,0.6904672499194326,21,68.5 (10.7),0.62
"('vol-total_ventricle', 'mmse')",-0.4072608979444972,0.06689255832240236,-0.3040143322508775,0.20572279519259537,21,68.5 (10.7),0.62
