pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt all, age all",0.09989070050720436,0.012613359247541932,-0.04349466379949138,0.2791592854428352,623,60.9 (12.5),0.55
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt all, age younger than 60",-0.014984040128377448,0.8011476282695258,-0.08369010316756756,0.1602835384161003,285,49.9 (7.9),0.61
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt all, age between 60-70",0.00034221899862441757,0.9962911300180153,0.02796307108685035,0.7055532396958133,187,65.1 (2.9),0.58
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt all, age older than 70",0.07607690972223245,0.3531863131386846,0.059653864746911804,0.4698767216068668,151,76.6 (4.6),0.39
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt within 1 year, age all",0.020060407261903355,0.7552108671305315,-0.09300683498244065,0.14916586776642812,244,60.8 (12.8),0.57
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt within 1 year, age younger than 60",-0.157810337055408,0.09655248865177049,-0.17556553885706006,0.06656655351966778,112,49.4 (7.4),0.62
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt within 1 year, age between 60-70",0.028050383333700656,0.8150658918299936,0.09384028956391627,0.43970302052821686,72,65.2 (2.9),0.57
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt within 1 year, age older than 70",0.11684847946625226,0.3739409020154397,0.10356663012659173,0.4391354992632106,60,76.9 (4.8),0.45
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt between 1-2.5 years, age all",0.12452033112536352,0.12265342356465503,-0.011930787266488262,0.8836287921606872,155,62.1 (11.6),0.47
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt between 1-2.5 years, age younger than 60",0.2732562319641388,0.02642120343372616,0.19893387763697865,0.1150487559531628,66,51.2 (7.2),0.55
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt between 1-2.5 years, age between 60-70",-0.34625270629818916,0.013771402904909181,-0.27923559779616924,0.05460199896836283,50,65.1 (2.9),0.54
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt between 1-2.5 years, age older than 70",0.08628479132952438,0.6014667166768778,0.0018164055916466174,0.9914871035397116,39,76.5 (4.1),0.26
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt between 2.5-7 years, age all",0.15387971052738947,0.02122743089577047,-0.002904929385155733,0.965671065273132,224,60.2 (12.8),0.58
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt between 2.5-7 years, age younger than 60",0.03469524812303818,0.7227529648928147,-0.056503196755352994,0.5669748736427667,107,49.6 (8.7),0.64
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt between 2.5-7 years, age between 60-70",0.15204667345721914,0.22662486987378433,0.14214458202569658,0.2664396964148514,65,64.8 (2.8),0.62
"('slowdelta_bandpower_total', 'vol-ctx--anterior')","dt between 2.5-7 years, age older than 70",0.005645418512290647,0.9683160617001332,0.02374807393451711,0.8699673475414452,52,76.3 (4.7),0.42
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",zzz_blank,,,,,,,
"('slowdelta_bandpower_total', 'vol-thalamus')","dt all, age all",0.2714287799726048,5.539088170840188e-12,-0.012671106247710073,0.7526562622751666,623,60.9 (12.5),0.55
"('slowdelta_bandpower_total', 'vol-thalamus')","dt all, age younger than 60",0.14450333222265538,0.014622175733665383,-0.030427105383176067,0.6102506581111181,285,49.9 (7.9),0.61
"('slowdelta_bandpower_total', 'vol-thalamus')","dt all, age between 60-70",0.16345544068711185,0.02539849434697371,0.09960644409543958,0.17734702594905763,187,65.1 (2.9),0.58
"('slowdelta_bandpower_total', 'vol-thalamus')","dt all, age older than 70",0.10137665212535965,0.2155014879990617,-0.07604821119967957,0.35663050455215184,151,76.6 (4.6),0.39
"('slowdelta_bandpower_total', 'vol-thalamus')","dt within 1 year, age all",0.27065017696034566,1.8171552502441302e-05,-0.013122193051256965,0.8390684089844181,244,60.8 (12.8),0.57
"('slowdelta_bandpower_total', 'vol-thalamus')","dt within 1 year, age younger than 60",0.07426412802651298,0.43645341778904906,-0.02725048991743245,0.777488742868055,112,49.4 (7.4),0.62
"('slowdelta_bandpower_total', 'vol-thalamus')","dt within 1 year, age between 60-70",0.20771286972689065,0.07997935439590903,0.15451230761656637,0.20154877085757256,72,65.2 (2.9),0.57
"('slowdelta_bandpower_total', 'vol-thalamus')","dt within 1 year, age older than 70",0.1329919897938866,0.31106505431898235,-0.04305108272597084,0.7483022160629998,60,76.9 (4.8),0.45
"('slowdelta_bandpower_total', 'vol-thalamus')","dt between 1-2.5 years, age all",0.23656340716344082,0.0030412973777886724,-0.06384359943363674,0.4330249678050707,155,62.1 (11.6),0.47
"('slowdelta_bandpower_total', 'vol-thalamus')","dt between 1-2.5 years, age younger than 60",0.25004158241992736,0.04288561838612009,0.06969777656482261,0.5842008433608774,66,51.2 (7.2),0.55
"('slowdelta_bandpower_total', 'vol-thalamus')","dt between 1-2.5 years, age between 60-70",0.0010400776591013988,0.9942804605573089,-0.10992510818044332,0.45701762917335886,50,65.1 (2.9),0.54
"('slowdelta_bandpower_total', 'vol-thalamus')","dt between 1-2.5 years, age older than 70",0.11896741179744895,0.47069612741826444,-0.17199956487081625,0.3087090148058358,39,76.5 (4.1),0.26
"('slowdelta_bandpower_total', 'vol-thalamus')","dt between 2.5-7 years, age all",0.2778815618124429,2.4530668712733913e-05,0.011433497597411356,0.8654827217724934,224,60.2 (12.8),0.58
"('slowdelta_bandpower_total', 'vol-thalamus')","dt between 2.5-7 years, age younger than 60",0.17807717052930183,0.066490034972975,-0.04453902952452184,0.6518814148697594,107,49.6 (8.7),0.64
"('slowdelta_bandpower_total', 'vol-thalamus')","dt between 2.5-7 years, age between 60-70",0.16255687704789334,0.1957446394163185,0.14465578904924214,0.2579964795159828,65,64.8 (2.8),0.62
"('slowdelta_bandpower_total', 'vol-thalamus')","dt between 2.5-7 years, age older than 70",0.09339771141940226,0.5101718066907552,-0.0242657210228929,0.8671582038731512,52,76.3 (4.7),0.42
"('slowdelta_bandpower_total', 'vol-thalamus')",zzz_blank,,,,,,,
"('so_rate_f', 'vol-ctx--anterior')","dt all, age all",0.08347893552577915,0.037243562495961786,-0.014250399524797671,0.723023661846703,623,60.9 (12.5),0.55
"('so_rate_f', 'vol-ctx--anterior')","dt all, age younger than 60",-0.011324921443491225,0.8490328790775009,-0.05890096444490277,0.32347622528995545,285,49.9 (7.9),0.61
"('so_rate_f', 'vol-ctx--anterior')","dt all, age between 60-70",0.08019208448228483,0.27526609436887667,0.09648145716975962,0.1914012158451895,187,65.1 (2.9),0.58
"('so_rate_f', 'vol-ctx--anterior')","dt all, age older than 70",-0.014949215926212567,0.8554393432064742,-0.01663881374378634,0.8403810833539587,151,76.6 (4.6),0.39
"('so_rate_f', 'vol-ctx--anterior')","dt within 1 year, age all",0.028369988505512988,0.6592372195104818,-0.03356508676597434,0.6033471650931193,244,60.8 (12.8),0.57
"('so_rate_f', 'vol-ctx--anterior')","dt within 1 year, age younger than 60",-0.1648055446870315,0.08248146081178373,-0.17910094766206597,0.061187784076135864,112,49.4 (7.4),0.62
